Prefix,FileOffice,CurrentOwner,UsagePeriod,NumberOfFilesHeld,NumberOfDocumentsHeld,BusinessFunctionCovered
ADA,0027 - CST4,Science and Policy - Policy - Additives,2004-2007,19,141,Food Additives. Sweetners and Flavourings Science and Policy
ADB,0027 - CST4,Science and Policy - Policy - Additives,2004-2014,193,14624,Food Additives. Sweetners and Flavourings Science and Policy (including working party on Food Additives) 
AFC,0058 - SCO SCP,Food Standards Scotland,2004-2011,374,9787,Scotland - Animal Food Chain and Novel Foods
AFS,0007 - CCAF AFU,Science and Policy - Policy - Animal Feed and TSEs,2004-2012,579,42270,Animal Feed Policy and ACAF
ASS,0045 - EAD,Science Evidence and Research - Economics / Statistics,2004-2012,0,0,Economic Analysis. Statistical Analysis
BMU,0062 - SCO SCS,Food Standards Scotland,2005-2010,0,0,Scotland - Freedom of information. IT & Information Management. Training. Health & Safety. SFAC and SFELC. Business Management
BPB,0006 - FPIT BP,Finance and Strategy - PPC,2004-2006,0,0,Business Planning. Strategic Risk Register. Audit Committee. FSA Annual/Departmental Reports
CCM,0054 - COMS COB,Communications - Marketing,2004-2006,0,0,Consumer Committee Secretariat
CDH,0064 - CCDH,N/A,2004-2009,0,0,Consumer Choice and Dietary Health Directors Office
CHA,0058 - SCO SCP,Food Standards Scotland,2004-2010,148,6858,Scotland - Contaminants. Radiological Safety. Hygiene. Additives and Shellfish
CLS,0011 - CCAD CCD2,Science and Policy - Policy - Contaminants,2004-2006,0,0,Contaminated Land Strategy - Liaison With Local Authorities
CMA,0028 - CST5,Science and Policy - Policy - Additives,2004-2009,148,4708,Materials and Articles In Contact With Food (policy and research)
COB,0054 - COMS COB,Communications - Marketing,2004-2006,0,0,Consumer Engagement
COM,0055 - COMS,N/A, ,0,0,Communications
CON,0011 - CCAD CCD2,Science and Policy - Policy - Contaminants,2004-2008,0,0,Working Party of Chemical Contaminants (2004-2005) & Taskforce on Incidents
COT,0037 - CST 1,Science and Policy - Science - Chemical Risk Assessment,2004-2012,87,3237,Committee on Toxicity Secretariat
CPD,0052 - NUT CPD,Public Health England - Transferred 2010,2004-2010,0,0,Promotion of Food to Children. Signpost Labelling. Nutrition Labelling and Dietectic Foods
CSB,0056 - CSI CSB,Private Office - Correspondence ,2004-2011,10,598,Complains. Parliamentary Questions. Open Access Requests
CSP,0056 - CSI CSB,Private Office - Correspondence ,2004-2009,0,0,Complains. Parliamentary Questions. Open Access Requests
CSS,0049 - CSI EUIS,Private Office - Correspondence Regulatory and Legal Stragey - EU and International,2004-2008,0,0,PQs and Correspondence Management.   Co-ordination and strategic input  with UK government. EU and other governments
CUS,0062 - SCO SCS,Food Standards Scotland,2011 only,0,0,Scotland - Internal Audit
DAN,0058 - SCO SCP,Food Standards Scotland,2005-2011,141,3686,Scotland - Diet and Nutrition
DQA,0015 - LAED PSB,Operations - Local Delivery - Code Of Practice,2010-2012,10,282,Food Law Code of Practice & FVO Missions
DTS,0023 - LAED DTS,Operations - Consumer Protection and Commerical Support,2004-2008,12,666,Illegal meat. diversity issues
EAT,0037 - CST 1,Science and Policy - Science - Chemical Risk Assessment,2006-2012,11,539,Exposure Assessment
ECI,0008 - CCAF IRB,Operations - Consumer Protection and Commercial Support,2004-2007,0,0,Environmental Contamination Incidents (Case Files)
ECO,0032 - MSD C,Science and Policy - Policy - Food Hygiene,2004-2012,153,28032,Food Hygiene Regulations Application Project. Food Hygiene Legislation Strategy
EFS,0065 - EG,N/A,2007-2008,,,Enforcement Group Directors Office
ELC,0009 - LAED MDB,Operations - Local Delivery - Monitoring,2004-2009,0,0,Monitoring of Food Law Enforcement by Local Authorities (Case Files)
ENV,0011 - CCAD CCD2,Science and Policy - Policy - Contaminants,2004-2010,40,2598,Environmental Contaminants (Science and Policy)
EPA,0063 - LAED AB,Operations - Operations Assurance - LA Audit,2004-2012,209,4570,Audit of Local Authorities Food Law Enforcement services. External audit of MHS. Liason with LACORS. Enforcement research
EPC,0044 - LAED PCB,Operations - Local Delivery - FHRS,2004-2011,173,32258,Enforcement Policy Co-Ordination. Liason and Framework Agreements with local authorities. FVO Missions. Food Hygiene Rating Scheme
EPM,0009 - LAED MDB,Operations - Local Delivery - Monitoring,2004-2008,0,0,Monitoring of Food Law Enforcement by Local Authorities (Policy and Managment)
ESA,0013 - LAED HTS,Operations - Local Delivery ,2004-2009,95,10914,Technical support on delivery of food hygiene regulations
ESB,0012 - LAED FIB,Operations - Consumer Protection and Commercial Support,2004-2008,0,0,Food Incidents (RASFF. Policy. Administration)
ESC,0015 - LAED PSB,Operations - Local Delivery - Code of Practice,2004-2012,81,7263,Training of Enforcement Officers
ESD,0014 - LAED IFD,Operations - Local Delivery - Code of Practice,2004-2005,15,41,Standards and Technical Support
ESE,0014 - LAED IFD,Regulatory and Legal Strategy - Imports,2004-2007,19,171,Local Authority Enforcement responsibilities concerning imported food
ESS,0044 - LAED PCB,Operations - Local Delivery - Code of Practice,2008-2009,0,0,Enforcement Science and Research
EUS,0049 - CSI EUIS,Regulatory and Legal Strategy - EU and International,2004-2009,146,6753,Co-ordination and strategic input  with EU and other governments
EXP,0045 - EAD,Science Evidence and Research - Chemical Risk Assessment,2005-2006,0,0,Exposure Assessment
FAE,0067 - ED FA,Defra - Transferred 2010,2004-2010,0,0,Food Authencity Research Programme. Authenticity Surveillance Programme. Secretariat to Authenticity Methodology Working Group
FAR,0026 - CST2,Science and Policy - Policy - Allergens,2004-2013,107,10669,Food Allergy Research
FAS,0059 - SCO SSE,Food Standards Scotland,2010-2012,30,795,Scotland - Safety Policy and Regulation Development: Food & Feeds Hygiene Regulations. General Food Law. TSE. Micro Criteria Regulation. Addictives. Bottled Water. Fish
FDS,0033 - MSD D,Science and Policy - Policy - Foodborne Disease Strategy,2004-2010,75,9249,Foodborne Disease Strategy. including  grant applications.
FFA,0012 - LAED FIB,Operations - Consumer Protection and Commercial Support,2004-2009,0,0,Fighting Fund Applications
FFS,0073 - ED FFDS,Operations - Consumer Protection and Commercial Support,2007-2013,61,8229,Food Fraud. Food Law Enforcement and Technical Support of Hygiene Regulations
FHP,0079 - HMD FHP,Science and Policy - Policy - Food Hygiene,2004-2010,170,15306,Food Law Policy
FIT,0012 - LAED FIB,Operations - Consumer Protection and Commercial Support,2004-2008,0,0,Food Incidents (Contaminants Case Files)
FMM,0005 - FPIT F&MA,Finance and Strategy - Accounting,2004-2009,0,0,Management Accounting and Financial Operations
FOP,0005 - FPIT F&MA,Finance and Strategy - Accounting,2004-2005,0,0,Financial Operations
FPB,0034 - MSD E,Science and Policy - Science -  Microbiological Food Safety,2004-2012,238,15432,Food Hazards. Hygiene advice to consumers. Microbiological Risk Assessment/Modelling. Scientific support to ACMSF. Microbiological Food Incidents
FSH,0030 - MSD H,Science and Policy - Policy - Food Hygiene,2004-2012,216,17209,Hygiene Policy for fish/shellfish intended for human consumption (includes statutory monitoring programmes and related research. Fish/shellfish hygiene issues. shellfish harvesting area classification)
FSP,0069 - FSP,N/A,2006-2009,0,0,Food Safety Policy Group Directors Office Management
FST,0059 - SCO SSE,Food Standards Scotland,2005-2012,371,9354,Scotland - EatSafe. CookSafe. HACCP
GEN,0019 - CST3,Science and Policy - Policy - Contaminants,2004-2009,0,0,Divisional Management for former CST 3 Branch
GFH,0036 - MSD A,Science and Policy - Policy - Food Hygiene,2004-2010,147,8528,General Food Hygiene. Temperature Controls. Food Industry Guidance. Egg Products
GSD,0068 - FHI FSM,Operations - Local Delivery,2005-2010,33,2998,HACCP Implementation
HAC,0042 - FCS,Operations - Local Delivery,2005-2011,66,4785,HACCP Policy. Safer Food Better Business
HRD,0060 - HRD,HR,2005-2009,0,0,HR Policy. Learning and Development
IAC,0061 - SRRD RCB,Communications,2009-2010,20,894,Integrated Advice To Consumers
IFD,0014 - LAED IFD,Regulatory and Legal Strategy - Imports,2004-2012,413,65103,Imported Food Controls - Policy & Enforcement
INF,0039 - Legal,Regulatory and Legal Strategy - Legal & Investigations,2004-2012,190,1413,Legal Investigation Case Files
